   n  mix
   2 1.98000000000000000000000000000
   3 3.00000000000000000000000000000
   4 7.21000000000000000000000000000
   5 11.7500000000000000000000000000
   6 15.3700000000000000000000000000
   7 23.6100000000000000000000000000
   8 25.7700000000000000000000000000
   9 31.7100000000000000000000000000
  10 33.9500000000000000000000000000
  11 35.6200000000000000000000000000
  12 41.8900000000000000000000000000
  13 45.3100000000000000000000000000
  14 48.5200000000000000000000000000
  15 54.2800000000000000000000000000
  16 62.5600000000000000000000000000
  17 70.4200000000000000000000000000
  18 70.6300000000000000000000000000
  19 77.2400000000000000000000000000
  20 82.7300000000000000000000000000
  21 90.6800000000000000000000000000
  22 90.7800000000000000000000000000
  23 95.7000000000000000000000000000
  24 99.7100000000000000000000000000
  25 119.250000000000000000000000000
  26 121.040000000000000000000000000
  27 124.910000000000000000000000000
  28 130.920000000000000000000000000
  29 135.460000000000000000000000000
  30 147.250000000000000000000000000
  31 148.780000000000000000000000000
  32 151.500000000000000000000000000
  33 160.870000000000000000000000000
  34 161.010000000000000000000000000
  35 177.270000000000000000000000000
  36 179.500000000000000000000000000
  37 191.250000000000000000000000000
  38 184.270000000000000000000000000
  39 195.840000000000000000000000000
  40 208.660000000000000000000000000
  41 221.750000000000000000000000000
  42 221.140000000000000000000000000
  43 237.880000000000000000000000000
  44 233.210000000000000000000000000
  45 236.560000000000000000000000000
  46 239.780000000000000000000000000
  47 239.240000000000000000000000000
  48 244.430000000000000000000000000
  49 268.270000000000000000000000000
  50 278.110000000000000000000000000
  51 263.310000000000000000000000000
  52 271.430000000000000000000000000
  53 311.090000000000000000000000000
  54 306.540000000000000000000000000
  55 296.460000000000000000000000000
  56 291.410000000000000000000000000
  57 313.910000000000000000000000000
  58 322.770000000000000000000000000
  59 314.100000000000000000000000000
  60 329.440000000000000000000000000
  61 332.750000000000000000000000000
  62 362.510000000000000000000000000
  63 363.970000000000000000000000000
  64 339.560000000000000000000000000
  65 381.030000000000000000000000000
  66 377.510000000000000000000000000
  67 384.400000000000000000000000000
  68 388.920000000000000000000000000
  69 391.420000000000000000000000000
  70 417.750000000000000000000000000
  71 405.660000000000000000000000000
  72 410.990000000000000000000000000
  73 424.100000000000000000000000000
  74 435.300000000000000000000000000
  75 458.360000000000000000000000000
  76 411.220000000000000000000000000
  77 443.080000000000000000000000000
  78 471.310000000000000000000000000
  79 473.610000000000000000000000000
  80 461.400000000000000000000000000
  81 472.890000000000000000000000000
  82 494.240000000000000000000000000
  83 495.440000000000000000000000000
  84 514.880000000000000000000000000
  85 525.290000000000000000000000000
  86 488.730000000000000000000000000
  87 535.850000000000000000000000000
  88 537.660000000000000000000000000
  89 525.660000000000000000000000000
  90 556.600000000000000000000000000
  91 568.110000000000000000000000000
  92 541.920000000000000000000000000
  93 592.320000000000000000000000000
  94 573.930000000000000000000000000
  95 573.880000000000000000000000000
  96 565.330000000000000000000000000
  97 611.580000000000000000000000000
  98 597.350000000000000000000000000
  99 605.830000000000000000000000000
 100 607.600000000000000000000000000
