   n  mix
   2 1.09000000000000000000000000000
   3 15.6400000000000000000000000000
   4 24.1200000000000000000000000000
   5 33.4600000000000000000000000000
   6 39.6200000000000000000000000000
   7 46.8900000000000000000000000000
   8 51.5300000000000000000000000000
   9 57.5700000000000000000000000000
  10 59.2500000000000000000000000000
  11 67.0100000000000000000000000000
  12 71.0900000000000000000000000000
  13 78.9000000000000000000000000000
  14 92.0400000000000000000000000000
  15 100.610000000000000000000000000
  16 109.220000000000000000000000000
  17 122.330000000000000000000000000
  18 128.800000000000000000000000000
  19 137.150000000000000000000000000
  20 145.870000000000000000000000000
  21 161.710000000000000000000000000
  22 175.420000000000000000000000000
  23 170.890000000000000000000000000
  24 204.070000000000000000000000000
  25 199.490000000000000000000000000
  26 213.020000000000000000000000000
  27 224.620000000000000000000000000
  28 245.510000000000000000000000000
  29 242.620000000000000000000000000
  30 261.200000000000000000000000000
  31 274.660000000000000000000000000
  32 279.060000000000000000000000000
  33 287.180000000000000000000000000
  34 311.980000000000000000000000000
  35 320.330000000000000000000000000
  36 320.610000000000000000000000000
  37 334.290000000000000000000000000
  38 351.900000000000000000000000000
  39 354.140000000000000000000000000
  40 378.420000000000000000000000000
  41 387.810000000000000000000000000
  42 398.190000000000000000000000000
  43 398.530000000000000000000000000
  44 425.150000000000000000000000000
  45 437.510000000000000000000000000
  46 431.440000000000000000000000000
  47 458.100000000000000000000000000
  48 466.570000000000000000000000000
  49 505.490000000000000000000000000
  50 487.090000000000000000000000000
  51 509.920000000000000000000000000
  52 502.040000000000000000000000000
  53 526.630000000000000000000000000
  54 543.590000000000000000000000000
  55 551.600000000000000000000000000
  56 554.710000000000000000000000000
  57 577.270000000000000000000000000
  58 602.070000000000000000000000000
  59 602.030000000000000000000000000
  60 619.860000000000000000000000000
  61 639.890000000000000000000000000
  62 640.390000000000000000000000000
  63 646.060000000000000000000000000
  64 668.880000000000000000000000000
  65 671.020000000000000000000000000
  66 710.820000000000000000000000000
  67 705.820000000000000000000000000
  68 704.630000000000000000000000000
  69 740.780000000000000000000000000
  70 765.380000000000000000000000000
  71 735.300000000000000000000000000
  72 766.910000000000000000000000000
  73 787.310000000000000000000000000
  74 783.530000000000000000000000000
  75 818.990000000000000000000000000
  76 819.930000000000000000000000000
  77 842.890000000000000000000000000
  78 872.540000000000000000000000000
  79 870.620000000000000000000000000
  80 856.440000000000000000000000000
  81 875.010000000000000000000000000
  82 904.870000000000000000000000000
  83 912.680000000000000000000000000
  84 931.800000000000000000000000000
  85 908.920000000000000000000000000
  86 985.290000000000000000000000000
  87 994.920000000000000000000000000
  88 1009.51000000000000000000000000
  89 1018.27000000000000000000000000
  90 982.670000000000000000000000000
  91 1038.90000000000000000000000000
  92 1009.72000000000000000000000000
  93 1036.54000000000000000000000000
  94 1084.84000000000000000000000000
  95 1086.79000000000000000000000000
  96 1088.39000000000000000000000000
  97 1151.03000000000000000000000000
  98 1114.37000000000000000000000000
  99 1132.13000000000000000000000000
 100 1139.36000000000000000000000000
