   n  mix
   2 2.10000000000000000000000000000
   3 2.80000000000000000000000000000
   4 7.52000000000000000000000000000
   5 11.7800000000000000000000000000
   6 15.2900000000000000000000000000
   7 18.9100000000000000000000000000
   8 24.8900000000000000000000000000
   9 31.8500000000000000000000000000
  10 31.6500000000000000000000000000
  11 37.6400000000000000000000000000
  12 47.4600000000000000000000000000
  13 47.8200000000000000000000000000
  14 55.0800000000000000000000000000
  15 60.0500000000000000000000000000
  16 67.2700000000000000000000000000
  17 68.6800000000000000000000000000
  18 77.3300000000000000000000000000
  19 79.0300000000000000000000000000
  20 85.7100000000000000000000000000
  21 91.0300000000000000000000000000
  22 93.7000000000000000000000000000
  23 109.220000000000000000000000000
  24 106.360000000000000000000000000
  25 112.960000000000000000000000000
  26 123.230000000000000000000000000
  27 134.670000000000000000000000000
  28 125.990000000000000000000000000
  29 141.550000000000000000000000000
  30 140.940000000000000000000000000
  31 154.500000000000000000000000000
  32 150.800000000000000000000000000
  33 168.790000000000000000000000000
  34 164.900000000000000000000000000
  35 176.340000000000000000000000000
  36 189.050000000000000000000000000
  37 194.950000000000000000000000000
  38 192.640000000000000000000000000
  39 200.340000000000000000000000000
  40 207.380000000000000000000000000
  41 217.070000000000000000000000000
  42 211.340000000000000000000000000
  43 228.820000000000000000000000000
  44 242.420000000000000000000000000
  45 245.830000000000000000000000000
  46 254.990000000000000000000000000
  47 261.850000000000000000000000000
  48 262.170000000000000000000000000
  49 278.920000000000000000000000000
  50 262.010000000000000000000000000
  51 272.310000000000000000000000000
  52 275.500000000000000000000000000
  53 290.730000000000000000000000000
  54 296.200000000000000000000000000
  55 300.530000000000000000000000000
  56 309.180000000000000000000000000
  57 323.610000000000000000000000000
  58 303.190000000000000000000000000
  59 330.470000000000000000000000000
  60 336.720000000000000000000000000
  61 342.400000000000000000000000000
  62 357.310000000000000000000000000
  63 357.540000000000000000000000000
  64 383.290000000000000000000000000
  65 377.280000000000000000000000000
  66 391.840000000000000000000000000
  67 383.830000000000000000000000000
  68 385.580000000000000000000000000
  69 384.170000000000000000000000000
  70 412.960000000000000000000000000
  71 429.590000000000000000000000000
  72 409.330000000000000000000000000
  73 433.500000000000000000000000000
  74 439.970000000000000000000000000
  75 440.610000000000000000000000000
  76 441.930000000000000000000000000
  77 455.500000000000000000000000000
  78 457.960000000000000000000000000
  79 468.640000000000000000000000000
  80 464.370000000000000000000000000
  81 460.250000000000000000000000000
  82 496.000000000000000000000000000
  83 494.910000000000000000000000000
  84 514.680000000000000000000000000
  85 495.370000000000000000000000000
  86 498.240000000000000000000000000
  87 527.760000000000000000000000000
  88 520.580000000000000000000000000
  89 536.490000000000000000000000000
  90 556.030000000000000000000000000
  91 547.950000000000000000000000000
  92 560.600000000000000000000000000
  93 593.390000000000000000000000000
  94 591.420000000000000000000000000
  95 580.250000000000000000000000000
  96 607.300000000000000000000000000
  97 616.030000000000000000000000000
  98 607.980000000000000000000000000
  99 644.850000000000000000000000000
 100 609.910000000000000000000000000
