   n  mix
   2 1.22000000000000000000000000000
   3 18.1500000000000000000000000000
   4 31.3800000000000000000000000000
   5 39.9800000000000000000000000000
   6 47.2500000000000000000000000000
   7 60.9100000000000000000000000000
   8 74.4500000000000000000000000000
   9 98.2300000000000000000000000000
  10 113.720000000000000000000000000
  11 129.880000000000000000000000000
  12 151.890000000000000000000000000
  13 174.400000000000000000000000000
  14 192.430000000000000000000000000
  15 204.910000000000000000000000000
  16 226.510000000000000000000000000
  17 240.120000000000000000000000000
  18 266.260000000000000000000000000
  19 284.900000000000000000000000000
  20 313.800000000000000000000000000
  21 332.380000000000000000000000000
  22 349.900000000000000000000000000
  23 388.010000000000000000000000000
  24 392.220000000000000000000000000
  25 412.470000000000000000000000000
  26 437.150000000000000000000000000
  27 472.810000000000000000000000000
  28 492.810000000000000000000000000
  29 508.850000000000000000000000000
  30 518.840000000000000000000000000
  31 561.380000000000000000000000000
  32 582.820000000000000000000000000
  33 612.560000000000000000000000000
  34 643.870000000000000000000000000
  35 630.200000000000000000000000000
  36 671.290000000000000000000000000
  37 685.470000000000000000000000000
  38 740.170000000000000000000000000
  39 742.550000000000000000000000000
  40 782.460000000000000000000000000
  41 802.970000000000000000000000000
  42 805.560000000000000000000000000
  43 842.950000000000000000000000000
  44 852.180000000000000000000000000
  45 889.740000000000000000000000000
  46 900.150000000000000000000000000
  47 957.420000000000000000000000000
  48 966.910000000000000000000000000
  49 1001.33000000000000000000000000
  50 1037.52000000000000000000000000
  51 1031.39000000000000000000000000
  52 1081.20000000000000000000000000
  53 1101.26000000000000000000000000
  54 1088.83000000000000000000000000
  55 1134.67000000000000000000000000
  56 1171.48000000000000000000000000
  57 1212.66000000000000000000000000
  58 1230.77000000000000000000000000
  59 1225.27000000000000000000000000
  60 1298.15000000000000000000000000
  61 1315.69000000000000000000000000
  62 1307.54000000000000000000000000
  63 1355.55000000000000000000000000
  64 1374.17000000000000000000000000
  65 1417.45000000000000000000000000
  66 1432.18000000000000000000000000
  67 1480.69000000000000000000000000
  68 1453.19000000000000000000000000
  69 1522.24000000000000000000000000
  70 1516.92000000000000000000000000
  71 1527.56000000000000000000000000
  72 1610.99000000000000000000000000
  73 1604.91000000000000000000000000
  74 1674.17000000000000000000000000
  75 1710.37000000000000000000000000
  76 1681.00000000000000000000000000
  77 1751.08000000000000000000000000
  78 1745.40000000000000000000000000
  79 1761.97000000000000000000000000
  80 1779.93000000000000000000000000
  81 1830.84000000000000000000000000
  82 1877.00000000000000000000000000
  83 1865.68000000000000000000000000
  84 1910.65000000000000000000000000
  85 1962.23000000000000000000000000
  86 1947.54000000000000000000000000
  87 2010.80000000000000000000000000
  88 2047.25000000000000000000000000
  89 2030.35000000000000000000000000
  90 2060.72000000000000000000000000
  91 2181.84000000000000000000000000
  92 2131.83000000000000000000000000
  93 2161.53000000000000000000000000
  94 2167.35000000000000000000000000
  95 2206.09000000000000000000000000
  96 2268.16000000000000000000000000
  97 2255.13000000000000000000000000
  98 2361.82000000000000000000000000
  99 2350.23000000000000000000000000
 100 2428.17000000000000000000000000
