   n  mix
   2 1.98000000000000000000000000000
   3 2.52000000000000000000000000000
   4 5.61000000000000000000000000000
   5 7.50000000000000000000000000000
   6 12.2200000000000000000000000000
   7 13.7400000000000000000000000000
   8 16.2500000000000000000000000000
   9 19.1000000000000000000000000000
  10 23.0000000000000000000000000000
  11 26.2400000000000000000000000000
  12 30.6300000000000000000000000000
  13 31.2800000000000000000000000000
  14 36.0200000000000000000000000000
  15 35.6300000000000000000000000000
  16 39.6900000000000000000000000000
  17 42.0800000000000000000000000000
  18 47.0600000000000000000000000000
  19 51.3900000000000000000000000000
  20 53.1800000000000000000000000000
  21 57.2400000000000000000000000000
  22 63.2600000000000000000000000000
  23 61.9700000000000000000000000000
  24 68.3100000000000000000000000000
  25 71.1600000000000000000000000000
  26 71.2200000000000000000000000000
  27 80.0700000000000000000000000000
  28 77.5500000000000000000000000000
  29 84.9200000000000000000000000000
  30 94.4600000000000000000000000000
  31 89.5100000000000000000000000000
  32 98.2600000000000000000000000000
  33 98.3000000000000000000000000000
  34 107.920000000000000000000000000
  35 103.050000000000000000000000000
  36 109.660000000000000000000000000
  37 112.760000000000000000000000000
  38 115.970000000000000000000000000
  39 120.420000000000000000000000000
  40 126.250000000000000000000000000
  41 122.920000000000000000000000000
  42 134.550000000000000000000000000
  43 131.250000000000000000000000000
  44 134.420000000000000000000000000
  45 148.910000000000000000000000000
  46 142.990000000000000000000000000
  47 153.650000000000000000000000000
  48 153.630000000000000000000000000
  49 159.900000000000000000000000000
  50 169.230000000000000000000000000
  51 169.550000000000000000000000000
  52 185.690000000000000000000000000
  53 166.200000000000000000000000000
  54 190.810000000000000000000000000
  55 178.580000000000000000000000000
  56 189.280000000000000000000000000
  57 188.450000000000000000000000000
  58 197.100000000000000000000000000
  59 190.270000000000000000000000000
  60 200.820000000000000000000000000
  61 208.010000000000000000000000000
  62 200.100000000000000000000000000
  63 210.780000000000000000000000000
  64 216.790000000000000000000000000
  65 214.940000000000000000000000000
  66 224.540000000000000000000000000
  67 221.590000000000000000000000000
  68 236.120000000000000000000000000
  69 236.850000000000000000000000000
  70 235.730000000000000000000000000
  71 237.450000000000000000000000000
  72 245.850000000000000000000000000
  73 251.380000000000000000000000000
  74 265.620000000000000000000000000
  75 259.220000000000000000000000000
  76 263.700000000000000000000000000
  77 263.210000000000000000000000000
  78 266.010000000000000000000000000
  79 266.750000000000000000000000000
  80 277.780000000000000000000000000
  81 279.050000000000000000000000000
  82 287.050000000000000000000000000
  83 268.000000000000000000000000000
  84 293.620000000000000000000000000
  85 288.170000000000000000000000000
  86 301.100000000000000000000000000
  87 281.630000000000000000000000000
  88 316.710000000000000000000000000
  89 317.060000000000000000000000000
  90 318.830000000000000000000000000
  91 344.080000000000000000000000000
  92 328.720000000000000000000000000
  93 328.000000000000000000000000000
  94 339.380000000000000000000000000
  95 320.410000000000000000000000000
  96 318.790000000000000000000000000
  97 342.390000000000000000000000000
  98 360.470000000000000000000000000
  99 352.140000000000000000000000000
 100 386.790000000000000000000000000
