   n  mix
   2 1.10000000000000000000000000000
   3 14.4000000000000000000000000000
   4 33.2000000000000000000000000000
   5 31.9000000000000000000000000000
   6 57.3000000000000000000000000000
   7 107.100000000000000000000000000
   8 154.700000000000000000000000000
   9 200.100000000000000000000000000
  10 196.500000000000000000000000000
  11 266.400000000000000000000000000
  12 474.200000000000000000000000000
  13 467.800000000000000000000000000
  14 615.400000000000000000000000000
  15 694.400000000000000000000000000
  16 975.400000000000000000000000000
  17 1040.00000000000000000000000000
  18 1268.00000000000000000000000000
  19 1228.60000000000000000000000000
  20 1531.50000000000000000000000000
  21 1496.60000000000000000000000000
  22 1566.60000000000000000000000000
  23 1942.30000000000000000000000000
  24 1976.40000000000000000000000000
  25 2353.30000000000000000000000000
  26 2560.80000000000000000000000000
  27 3190.70000000000000000000000000
  28 2862.40000000000000000000000000
  29 2931.70000000000000000000000000
  30 3910.50000000000000000000000000
  31 4588.80000000000000000000000000
  32 4658.40000000000000000000000000
  33 4836.70000000000000000000000000
  34 5211.50000000000000000000000000
  35 5871.10000000000000000000000000
  36 5372.50000000000000000000000000
  37 6419.50000000000000000000000000
  38 6989.30000000000000000000000000
  39 6700.40000000000000000000000000
  40 6806.10000000000000000000000000
  41 7374.10000000000000000000000000
  42 6989.60000000000000000000000000
  43 8996.50000000000000000000000000
  44 9737.50000000000000000000000000
  45 9051.59999999999999999999999999
  46 9051.09999999999999999999999999
  47 10974.4000000000000000000000000
  48 11876.3000000000000000000000000
  49 11382.6000000000000000000000000
  50 12778.9000000000000000000000000
