   n  mix
   2 2.11000000000000000000000000000
   3 3.18000000000000000000000000000
   4 6.56000000000000000000000000000
   5 10.2000000000000000000000000000
   6 13.6100000000000000000000000000
   7 20.2900000000000000000000000000
   8 25.7300000000000000000000000000
   9 28.9600000000000000000000000000
  10 36.1300000000000000000000000000
  11 37.2900000000000000000000000000
  12 39.8800000000000000000000000000
  13 52.8000000000000000000000000000
  14 53.7500000000000000000000000000
  15 59.9700000000000000000000000000
  16 64.9900000000000000000000000000
  17 71.2600000000000000000000000000
  18 72.7900000000000000000000000000
  19 83.3600000000000000000000000000
  20 84.7800000000000000000000000000
  21 84.0200000000000000000000000000
  22 88.8800000000000000000000000000
  23 98.9200000000000000000000000000
  24 113.310000000000000000000000000
  25 107.450000000000000000000000000
  26 120.280000000000000000000000000
  27 121.600000000000000000000000000
  28 130.230000000000000000000000000
  29 131.150000000000000000000000000
  30 153.470000000000000000000000000
  31 143.700000000000000000000000000
  32 151.950000000000000000000000000
  33 158.690000000000000000000000000
  34 166.000000000000000000000000000
  35 177.900000000000000000000000000
  36 183.430000000000000000000000000
  37 187.400000000000000000000000000
  38 191.560000000000000000000000000
  39 200.850000000000000000000000000
  40 204.980000000000000000000000000
  41 215.700000000000000000000000000
  42 231.240000000000000000000000000
  43 231.670000000000000000000000000
  44 222.580000000000000000000000000
  45 224.260000000000000000000000000
  46 240.740000000000000000000000000
  47 245.680000000000000000000000000
  48 259.630000000000000000000000000
  49 260.670000000000000000000000000
  50 255.930000000000000000000000000
  51 275.060000000000000000000000000
  52 269.920000000000000000000000000
  53 286.690000000000000000000000000
  54 298.860000000000000000000000000
  55 309.580000000000000000000000000
  56 318.470000000000000000000000000
  57 315.990000000000000000000000000
  58 329.030000000000000000000000000
  59 322.070000000000000000000000000
  60 337.260000000000000000000000000
  61 360.440000000000000000000000000
  62 343.200000000000000000000000000
  63 357.640000000000000000000000000
  64 357.850000000000000000000000000
  65 387.450000000000000000000000000
  66 385.630000000000000000000000000
  67 389.700000000000000000000000000
  68 376.670000000000000000000000000
  69 398.160000000000000000000000000
  70 410.550000000000000000000000000
  71 406.620000000000000000000000000
  72 420.100000000000000000000000000
  73 426.040000000000000000000000000
  74 422.010000000000000000000000000
  75 467.340000000000000000000000000
  76 465.350000000000000000000000000
  77 464.370000000000000000000000000
  78 453.150000000000000000000000000
  79 454.420000000000000000000000000
  80 481.260000000000000000000000000
  81 486.740000000000000000000000000
  82 481.240000000000000000000000000
  83 500.570000000000000000000000000
  84 500.730000000000000000000000000
  85 509.210000000000000000000000000
  86 508.290000000000000000000000000
  87 539.790000000000000000000000000
  88 520.490000000000000000000000000
  89 548.080000000000000000000000000
  90 520.020000000000000000000000000
  91 556.250000000000000000000000000
  92 557.630000000000000000000000000
  93 553.390000000000000000000000000
  94 558.830000000000000000000000000
  95 554.030000000000000000000000000
  96 592.810000000000000000000000000
  97 621.520000000000000000000000000
  98 632.970000000000000000000000000
  99 606.490000000000000000000000000
 100 623.470000000000000000000000000
