   n  mix
   2 1.20000000000000000000000000000
   3 23.3000000000000000000000000000
   4 26.9000000000000000000000000000
   5 30.6000000000000000000000000000
   6 55.5000000000000000000000000000
   7 103.100000000000000000000000000
   8 126.400000000000000000000000000
   9 208.600000000000000000000000000
  10 262.400000000000000000000000000
  11 286.400000000000000000000000000
  12 399.300000000000000000000000000
  13 456.800000000000000000000000000
  14 647.500000000000000000000000000
  15 773.900000000000000000000000000
  16 810.700000000000000000000000000
  17 911.200000000000000000000000000
  18 1056.00000000000000000000000000
  19 1152.60000000000000000000000000
  20 1494.90000000000000000000000000
  21 1600.40000000000000000000000000
  22 1755.70000000000000000000000000
  23 1801.90000000000000000000000000
  24 2461.30000000000000000000000000
  25 2555.20000000000000000000000000
  26 2849.10000000000000000000000000
  27 2740.10000000000000000000000000
  28 3437.80000000000000000000000000
  29 3083.90000000000000000000000000
  30 3568.80000000000000000000000000
  31 3989.50000000000000000000000000
  32 4276.00000000000000000000000000
  33 4834.80000000000000000000000000
  34 5123.80000000000000000000000000
  35 6094.00000000000000000000000000
  36 5585.00000000000000000000000000
  37 5792.90000000000000000000000000
  38 6571.10000000000000000000000000
  39 6598.40000000000000000000000000
  40 7763.80000000000000000000000000
  41 7386.70000000000000000000000000
  42 7932.80000000000000000000000000
  43 8812.40000000000000000000000001
  44 7607.50000000000000000000000000
  45 9585.80000000000000000000000000
  46 9762.30000000000000000000000000
  47 9676.59999999999999999999999999
  48 12375.8000000000000000000000000
  49 12348.3000000000000000000000000
  50 10409.9000000000000000000000000
