   n  mix
   1 1.00000000000000000000000000000
   2 1.27000000000000000000000000000
   3 3.44000000000000000000000000000
   4 6.19000000000000000000000000000
   5 8.25000000000000000000000000000
   6 10.7300000000000000000000000000
   7 14.7300000000000000000000000000
   8 17.6800000000000000000000000000
   9 20.0700000000000000000000000000
  10 22.3200000000000000000000000000
  11 25.6400000000000000000000000000
  12 29.1400000000000000000000000000
  13 34.4500000000000000000000000000
  14 37.1200000000000000000000000000
  15 39.0600000000000000000000000000
  16 46.0100000000000000000000000000
  17 50.0600000000000000000000000000
  18 53.8000000000000000000000000000
  19 58.5600000000000000000000000000
  20 62.3300000000000000000000000000
  21 65.3900000000000000000000000000
  22 73.1300000000000000000000000000
  23 77.7800000000000000000000000000
  24 78.6800000000000000000000000000
  25 81.8000000000000000000000000000
  26 95.0900000000000000000000000000
  27 98.3300000000000000000000000000
  28 102.430000000000000000000000000
  29 104.920000000000000000000000000
  30 118.150000000000000000000000000
  31 111.860000000000000000000000000
  32 117.070000000000000000000000000
  33 121.780000000000000000000000000
  34 133.220000000000000000000000000
  35 139.720000000000000000000000000
  36 132.000000000000000000000000000
  37 145.530000000000000000000000000
  38 149.940000000000000000000000000
  39 151.490000000000000000000000000
  40 156.710000000000000000000000000
  41 167.840000000000000000000000000
  42 171.260000000000000000000000000
  43 178.280000000000000000000000000
  44 179.950000000000000000000000000
  45 183.460000000000000000000000000
  46 183.910000000000000000000000000
  47 199.860000000000000000000000000
  48 194.370000000000000000000000000
  49 210.210000000000000000000000000
  50 214.160000000000000000000000000
