   n  mix
   1 1.00000000000000000000000000000
   2 1.06000000000000000000000000000
   3 2.84000000000000000000000000000
   4 5.91000000000000000000000000000
   5 8.33000000000000000000000000000
   6 11.4700000000000000000000000000
   7 16.2400000000000000000000000000
   8 21.1300000000000000000000000000
   9 24.1300000000000000000000000000
  10 26.7600000000000000000000000000
  11 33.6000000000000000000000000000
  12 35.1500000000000000000000000000
  13 39.0100000000000000000000000000
  14 43.6200000000000000000000000000
  15 55.5800000000000000000000000000
  16 57.4500000000000000000000000000
  17 62.8300000000000000000000000000
  18 71.4700000000000000000000000000
  19 75.9700000000000000000000000000
  20 83.5800000000000000000000000000
  21 89.0600000000000000000000000000
  22 98.6800000000000000000000000000
  23 101.610000000000000000000000000
  24 111.590000000000000000000000000
  25 118.230000000000000000000000000
  26 121.140000000000000000000000000
  27 130.550000000000000000000000000
  28 140.620000000000000000000000000
  29 142.040000000000000000000000000
  30 160.390000000000000000000000000
  31 163.100000000000000000000000000
  32 168.790000000000000000000000000
  33 179.380000000000000000000000000
  34 177.440000000000000000000000000
  35 196.570000000000000000000000000
  36 205.040000000000000000000000000
  37 204.230000000000000000000000000
  38 218.950000000000000000000000000
  39 222.870000000000000000000000000
  40 231.390000000000000000000000000
  41 241.330000000000000000000000000
  42 249.560000000000000000000000000
  43 266.620000000000000000000000000
  44 264.720000000000000000000000000
  45 277.990000000000000000000000000
  46 288.050000000000000000000000000
  47 296.500000000000000000000000000
  48 301.200000000000000000000000000
  49 326.590000000000000000000000000
  50 327.660000000000000000000000000
